,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
MGEL4,PN N1,MANGELS PN N1,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,563,30/06/2020,420,1100,42464,32559500,646378000,31/12/2019,5783210,"0,36%","2,55%","2,55%","-3,76%","-32,25%","57,69%","27,91%","9,87%","31,58%","97,92%",,-1498,-009,056,006,009,023,-006,"0,0%",842,1106,"6,6%",-038,-6409,"16,8%","10,5%","-1,2%","15,9%","19,7%","0,6%",305,-177,152,366686000,42233000,209533000,656052000,613819000,-370634000,556332000,58429000,-2174000,140350000,21516000,4987000,,,,,,
SHOW3,ON NM,TIME FOR FUN ON NM,Viagens e Lazer,Produção de Eventos e Shows,263,30/06/2020,125,675,2362590,177528000,118592000,31/03/2020,67501000,"0,77%","57,49%","57,49%","-50,09%","-57,92%","-14,50%","3,69%","33,27%","81,79%","4,30%",,-353,065,-542,058,027,143,-3549,"0,0%",-847,-362,"-17,6%",-074,408,"14,1%","-10,7%","-16,9%","-5,0%","-8,3%","-18,3%",149,059,047,655446000,222507000,376762000,163571000,-58936000,275141000,305583000,-32738000,-50261000,32493000,-10092000,-13797000,,,,,,
USIM3,ON N1,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,809,30/06/2020,444,1135,2522600,10137400000,13690200000,31/03/2020,1253080000,"5,34%","22,76%","22,76%","-22,26%","-17,38%","-12,65%","5,90%","31,24%","106,87%","-69,05%",,-3268,072,893,067,038,153,-566,"0,6%",641,1206,"15,1%",-025,1121,"12,4%","7,5%","-0,8%","4,2%","4,9%","-2,2%",326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
AZEV3,ON,AZEVEDO & TRAVASSOS ON,Construção e Engenharia,Construção Pesada,1398,30/06/2020,250,2200,600112,75492000,109473000,31/12/2019,5400000,"7,54%","257,55%","257,55%","180,72%","108,04%","-85,07%","262,90%","-0,80%","74,83%","-39,92%",,-211,-031,-564,4306,137,-038,-027,"0,0%",-1032,-818,"-68,9%",-663,-4562,"-398,0%","-763,5%","-2041,2%","-24,2%","-52,3%","14,5%",010,-014,003,55305000,46000,21255000,34027000,33981000,-246370000,1753000,-13384000,-35784000,-95847000,92518000,221217000,,,,,,
FRIO3,ON NM,Metalfrio ON NM,Equipamentos Elétricos,Equipamentos Elétricos,10000,29/06/2020,5301,10908,8362,410700000,1153570000,31/03/2020,4107000,"0,00%","88,64%","88,64%","103,46%","63,93%","3,39%","40,48%","62,79%","21,13%","-42,74%",,-448,-2033,568,027,023,4537,-095,"0,0%",957,1596,"10,4%",-2235,-492,"17,8%","4,8%","-5,2%","4,0%","7,7%","454,3%",101,-5690,083,1809940000,406429000,1319020000,1149300000,742867000,-20199000,1495700000,72273000,-91771000,384585000,21959000,-103836000,,,,,,
INEP4,PN,INEPAR S/A PN,Máquinas e Equipamentos,Máqs e Equips Industriais,620,30/06/2020,465,1110,56300,49639000,688359000,30/09/2019,8006280,"-1,74%","8,77%","8,77%","-27,49%","-21,22%","52,82%","80,70%","-4,36%","-17,22%","5,88%",,-012,-003,-017,187,003,-003,-002,"0,0%",-250,-235,"-51,5%",-5359,-21282,"31,1%","-1107,2%","-1399,6%","-20,5%","-22,2%","25,2%",014,-038,002,1429640000,1135000,280702000,639855000,638720000,-1703920000,26505000,-293465000,-429017000,1202000,-58858000,-69562000,,,,,,
MNDL3,ON,MUNDIAL S/A ON,"Tecidos, Vestuário e Calçados",Acessórios,2252,30/06/2020,1910,3700,181160,55849600,237115000,31/03/2020,2480000,"-6,17%","4,26%","4,26%","-33,75%","-35,90%","30,11%","18,47%","117,46%","75,25%","-18,64%",,-445,-038,182,012,005,-009,-006,"0,0%",541,772,"4,2%",-506,-5900,"33,3%","6,4%","-2,6%","2,9%","3,2%","8,6%",029,-128,045,1053370000,5489000,265984000,186754000,181265000,-146315000,476501000,30733000,-12555000,100386000,4429000,-1935000,,,,,,
ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,1297,30/06/2020,825,1910,64683700,7246330000,14117500000,31/03/2020,558699000,"0,08%","-1,37%","-1,37%","20,54%","-20,43%","73,77%","-17,79%","55,66%","66,97%","-49,94%",,-4221,1249,563,179,061,-415,-081,"0,0%",759,1097,"8,0%",-031,104,"39,6%","31,9%","-4,2%","10,9%","13,2%","-29,6%",057,1534,034,11822700000,2026590000,2336230000,8897770000,6871180000,580008000,4041060000,1287380000,-171690000,970026000,371692000,99839000,,,,,,
GSHP3,ON NM,Generalshopp ON NM,Exploração de Imóveis,Exploração de Imóveis,5050,29/06/2020,2592,14400,59697,97402800,1431750000,31/03/2020,1928770,"0,00%","27,88%","27,88%","69,01%","-49,90%","495,75%","14,63%","46,43%","40,00%","-58,33%",,-031,-032,401,083,005,063,-006,"0,0%",5365,5900,"-17,2%",-16451,-15883,"67,9%","20,7%","-270,8%","1,3%","1,7%","103,6%",158,-545,007,1798840000,335693000,420217000,1670040000,1334350000,-306349000,117173000,24268000,-317302000,28345000,8021000,-310720000,,,,,,
SNSY5,PNA,SANSUY SA INDÚSTRIA DE PLÁSTICOS PNA,,,12000,30/06/2020,6600,12500,13862,23160000,113360000,31/03/2020,193000,"8,01%","50,00%","50,00%","86,05%","11,84%","128,35%","84,27%","6,25%","4,35%","-63,49%",,-013,-002,-030,005,006,-013,-002,"0,0%",-189,-145,"5,4%",-92537,-657935,"11,0%","-17,0%","-40,1%","-20,9%","-24,7%","14,1%",052,-008,122,375483000,6119000,188772000,96319000,90200000,-1269810000,459270000,-78293000,-178596000,110126000,-18968000,-44901000,,,,,,
